entry_time,exit_time,direction,entry_price,exit_price,size,gross_pnl,fees,net_pnl,profit,reason
2025-04-24 17:00:00+05:00,2025-04-25 13:00:00+05:00,long,353.42663,367.54614,64.73791,914.06758,18.66971,895.39787,895.39787,Strategy Exit
2025-04-25 17:00:00+05:00,2025-04-26 09:00:00+05:00,long,363.55168,348.97427,69.35974,-1011.08587,19.76825,-1030.85412,-1030.85412,Trailing SL
2025-04-26 17:00:00+05:00,2025-04-27 05:00:00+05:00,short,346.75654,346.26304,71.23545,35.15398,19.74702,15.40696,15.40696,Strategy Exit
2025-04-27 09:00:00+05:00,2025-04-27 13:00:00+05:00,short,350.92445,347.93388,74.62051,223.15787,20.85967,202.2982,202.2982,Strategy Exit
2025-04-27 17:00:00+05:00,2025-04-28 01:00:00+05:00,short,349.03539,361.53206,78.1803,-976.99314,22.22095,-999.21409,-999.21409,Trailing SL
2025-04-28 05:00:00+05:00,2025-04-28 09:00:00+05:00,long,355.04744,368.65809,68.34789,930.25927,19.7855,910.47377,910.47377,Trailing SL
2025-04-28 21:00:00+05:00,2025-04-29 17:00:00+05:00,short,375.93194,370.28505,62.26808,351.62098,18.5862,333.03478,333.03478,Strategy Exit
2025-04-29 21:00:00+05:00,2025-04-30 09:00:00+05:00,short,371.39421,362.14098,68.32752,632.25023,20.04826,612.20197,612.20197,Strategy Exit
2025-04-30 13:00:00+05:00,2025-04-30 17:00:00+05:00,short,365.98692,359.7054,77.86964,489.13938,22.60376,466.53562,466.53562,Trailing SL
2025-04-30 21:00:00+05:00,2025-05-01 01:00:00+05:00,short,349.98492,355.15749,78.35269,-405.28479,22.09992,-427.38471,-427.38471,Strategy Exit
2025-05-01 05:00:00+05:00,2025-05-01 09:00:00+05:00,short,356.87148,360.83032,76.33905,-302.21486,21.91547,-324.13033,-324.13033,Strategy Exit
2025-05-01 13:00:00+05:00,2025-05-02 05:00:00+05:00,short,370.44468,357.59871,71.77599,922.03254,20.90241,901.13012,901.13012,Strategy Exit
